cycle,session_index,session_id,start_utc,end_utc,start_epoch,end_epoch,offered_packets,sent_packets,failed_packets,returncode,accounting_ok,tcpreplay_duration_s,suricata_alerts,rf_reference_positive,provenance_tier,source_timestamp_correlated,min_alert_rf_delta_s,incident_key
5,7,E1_TEST_BRUTE_02,2026-09-21T11:25:23.964048Z,2026-09-21T11:25:35.109888Z,1789989923.964048,1789989935.109888,216,216,0,0,1,11.06,0,6,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_BRUTE_02
5,8,E1_TEST_BRUTE_03,2026-09-21T11:25:35.611090Z,2026-09-21T11:25:46.780913Z,1789989935.611090,1789989946.780913,214,214,0,0,1,11.1,0,6,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_BRUTE_03
5,9,E1_TEST_DOS_01,2026-09-21T11:25:47.282235Z,2026-09-21T11:26:24.433707Z,1789989947.282235,1789989984.433707,2659023,2659023,0,0,1,37.08,8640,65537,HYBRID_CORRELATED,1,25.431313,E7:005:E1_TEST_DOS_01
5,10,E1_TEST_DOS_02,2026-09-21T11:26:30.657800Z,2026-09-21T11:27:07.711659Z,1789989990.657800,1789990027.711659,2648088,2648088,0,0,1,36.95,60752,65537,HYBRID_CORRELATED,1,0.0,E7:005:E1_TEST_DOS_02
5,11,E1_TEST_DOS_03,2026-09-21T11:27:25.207701Z,2026-09-21T11:28:02.138596Z,1789990045.207701,1789990082.138596,2600786,2600786,0,0,1,36.85,95944,65537,HYBRID_CORRELATED,1,0.0,E7:005:E1_TEST_DOS_03
5,12,E1_TEST_EXPLOIT_01,2026-09-21T11:28:27.034772Z,2026-09-21T11:28:41.155039Z,1789990107.034772,1789990121.155039,23669,23666,3,0,1,14.02,0,2318,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_EXPLOIT_01
5,13,E1_TEST_EXPLOIT_02,2026-09-21T11:28:41.736119Z,2026-09-21T11:28:51.304102Z,1789990121.736119,1789990131.304102,20747,20747,0,0,1,9.46,0,2072,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_EXPLOIT_02
5,14,E1_TEST_EXPLOIT_03,2026-09-21T11:28:51.879690Z,2026-09-21T11:41:05.682952Z,1789990131.879690,1789990865.682952,71525,71523,2,0,1,733.71,0,21,RF_ONLY_REVIEW,0,,E7:005:E1_TEST_EXPLOIT_03
6,0,E1_TEST_NORMAL_01,2026-09-21T11:41:06.637554Z,2026-09-21T11:41:36.326908Z,1789990866.637554,1789990896.326908,333,333,0,0,1,29.62,0,31,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_NORMAL_01
6,1,E1_TEST_NORMAL_02,2026-09-21T11:41:36.829941Z,2026-09-21T11:42:06.602113Z,1789990896.829941,1789990926.602113,333,333,0,0,1,29.68,0,31,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_NORMAL_02
6,2,E1_TEST_NORMAL_03,2026-09-21T11:42:07.105184Z,2026-09-21T11:42:37.129989Z,1789990927.105184,1789990957.129989,336,336,0,0,1,29.93,0,31,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_NORMAL_03
6,3,E1_TEST_SCAN_01,2026-09-21T11:42:37.631846Z,2026-09-21T11:42:38.341884Z,1789990957.631846,1789990958.341884,1729,1729,0,0,1,0.624749,0,845,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_SCAN_01
6,4,E1_TEST_SCAN_02,2026-09-21T11:42:38.845127Z,2026-09-21T11:42:39.491930Z,1789990958.845127,1789990959.491930,1715,1715,0,0,1,0.558989,0,837,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_SCAN_02
6,5,E1_TEST_SCAN_03,2026-09-21T11:42:39.995275Z,2026-09-21T11:42:41.626871Z,1789990959.995275,1789990961.626871,1760,1760,0,0,1,1.55,0,861,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_SCAN_03
6,6,E1_TEST_BRUTE_01,2026-09-21T11:42:42.132859Z,2026-09-21T11:42:53.425892Z,1789990962.132859,1789990973.425892,207,207,0,0,1,11.2,0,6,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_BRUTE_01
6,7,E1_TEST_BRUTE_02,2026-09-21T11:42:53.927141Z,2026-09-21T11:43:05.059916Z,1789990973.927141,1789990985.059916,216,216,0,0,1,11.06,0,6,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_BRUTE_02
6,8,E1_TEST_BRUTE_03,2026-09-21T11:43:05.561986Z,2026-09-21T11:43:16.758842Z,1789990985.561986,1789990996.758842,214,214,0,0,1,11.1,0,6,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_BRUTE_03
6,9,E1_TEST_DOS_01,2026-09-21T11:43:17.260502Z,2026-09-21T11:43:54.265977Z,1789990997.260502,1789991034.265977,2659023,2659023,0,0,1,36.93,8640,65537,HYBRID_CORRELATED,1,25.306086,E7:006:E1_TEST_DOS_01
6,10,E1_TEST_DOS_02,2026-09-21T11:44:00.473887Z,2026-09-21T11:44:37.411218Z,1789991040.473887,1789991077.411218,2648088,2648088,0,0,1,36.88,60710,65537,HYBRID_CORRELATED,1,0.0,E7:006:E1_TEST_DOS_02
6,11,E1_TEST_DOS_03,2026-09-21T11:44:54.926273Z,2026-09-21T11:45:31.821373Z,1789991094.926273,1789991131.821373,2600786,2600786,0,0,1,36.81,95886,65537,HYBRID_CORRELATED,1,0.0,E7:006:E1_TEST_DOS_03
6,12,E1_TEST_EXPLOIT_01,2026-09-21T11:45:56.821745Z,2026-09-21T11:46:10.926937Z,1789991156.821745,1789991170.926937,23669,23666,3,0,1,14.03,0,2318,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_EXPLOIT_01
6,13,E1_TEST_EXPLOIT_02,2026-09-21T11:46:11.509422Z,2026-09-21T11:46:21.045000Z,1789991171.509422,1789991181.045000,20747,20747,0,0,1,9.46,0,2072,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_EXPLOIT_02
6,14,E1_TEST_EXPLOIT_03,2026-09-21T11:46:21.619012Z,2026-09-21T11:58:35.416907Z,1789991181.619012,1789991915.416907,71525,71523,2,0,1,733.71,0,21,RF_ONLY_REVIEW,0,,E7:006:E1_TEST_EXPLOIT_03
7,0,E1_TEST_NORMAL_01,2026-09-21T11:58:36.366820Z,2026-09-21T11:59:06.066905Z,1789991916.366820,1789991946.066905,333,333,0,0,1,29.62,0,31,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_NORMAL_01
7,1,E1_TEST_NORMAL_02,2026-09-21T11:59:06.568658Z,2026-09-21T11:59:36.334885Z,1789991946.568658,1789991976.334885,333,333,0,0,1,29.68,0,31,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_NORMAL_02
7,2,E1_TEST_NORMAL_03,2026-09-21T11:59:36.836691Z,2026-09-21T12:00:06.863840Z,1789991976.836691,1789992006.863840,336,336,0,0,1,29.93,0,31,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_NORMAL_03
7,3,E1_TEST_SCAN_01,2026-09-21T12:00:07.365752Z,2026-09-21T12:00:08.073892Z,1789992007.365752,1789992008.073892,1729,1729,0,0,1,0.624688,0,845,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_SCAN_01
7,4,E1_TEST_SCAN_02,2026-09-21T12:00:08.579828Z,2026-09-21T12:00:09.226941Z,1789992008.579828,1789992009.226941,1715,1715,0,0,1,0.558845,0,837,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_SCAN_02
7,5,E1_TEST_SCAN_03,2026-09-21T12:00:09.730422Z,2026-09-21T12:00:11.367846Z,1789992009.730422,1789992011.367846,1760,1760,0,0,1,1.55,0,861,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_SCAN_03
7,6,E1_TEST_BRUTE_01,2026-09-21T12:00:11.873996Z,2026-09-21T12:00:23.160830Z,1789992011.873996,1789992023.160830,207,207,0,0,1,11.2,0,6,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_BRUTE_01
7,7,E1_TEST_BRUTE_02,2026-09-21T12:00:23.662648Z,2026-09-21T12:00:34.827970Z,1789992023.662648,1789992034.827970,216,216,0,0,1,11.06,0,6,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_BRUTE_02
7,8,E1_TEST_BRUTE_03,2026-09-21T12:00:35.330202Z,2026-09-21T12:00:46.514931Z,1789992035.330202,1789992046.514931,214,214,0,0,1,11.1,0,6,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_BRUTE_03
7,9,E1_TEST_DOS_01,2026-09-21T12:00:47.017016Z,2026-09-21T12:01:24.002802Z,1789992047.017016,1789992084.002802,2659023,2659023,0,0,1,36.91,8640,65537,HYBRID_CORRELATED,1,25.287,E7:007:E1_TEST_DOS_01
7,10,E1_TEST_DOS_02,2026-09-21T12:01:30.191645Z,2026-09-21T12:02:07.206451Z,1789992090.191645,1789992127.206451,2648088,2648088,0,0,1,36.94,61182,65537,HYBRID_CORRELATED,1,1e-06,E7:007:E1_TEST_DOS_02
7,11,E1_TEST_DOS_03,2026-09-21T12:02:24.754922Z,2026-09-21T12:03:01.641831Z,1789992144.754922,1789992181.641831,2600786,2600786,0,0,1,36.81,96406,65537,HYBRID_CORRELATED,1,0.0,E7:007:E1_TEST_DOS_03
7,12,E1_TEST_EXPLOIT_01,2026-09-21T12:03:26.555853Z,2026-09-21T12:03:40.674071Z,1789992206.555853,1789992220.674071,23669,23666,3,0,1,14.02,0,2318,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_EXPLOIT_01
7,13,E1_TEST_EXPLOIT_02,2026-09-21T12:03:41.256501Z,2026-09-21T12:03:50.787941Z,1789992221.256501,1789992230.787941,20747,20747,0,0,1,9.46,0,2072,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_EXPLOIT_02
7,14,E1_TEST_EXPLOIT_03,2026-09-21T12:03:51.358649Z,2026-09-21T12:16:05.150861Z,1789992231.358649,1789992965.150861,71525,71523,2,0,1,733.71,0,21,RF_ONLY_REVIEW,0,,E7:007:E1_TEST_EXPLOIT_03
