rate,stage,metric,n_runs,source,point_ms,ci_lo_ms,ci_hi_ms
2.0x,pa_feature_extraction,P99,5,phase_a_live,0.124,0.124,0.134
2.0x,pa_rf_predict,P50,5,phase_a_live,21.751,21.658,21.87
2.0x,pa_rf_predict,P95,5,phase_a_live,32.445,31.899,32.753
2.0x,pa_rf_predict,P99,5,phase_a_live,34.529,34.496,34.94
2.0x,ds_feature_extraction,P50,5,downstream_live,0.034,0.033,0.037
2.0x,ds_feature_extraction,P95,5,downstream_live,0.06,0.057,0.06
2.0x,ds_feature_extraction,P99,5,downstream_live,0.133,0.124,0.228
2.0x,ds_rf_predict,P50,5,downstream_live,21.7,21.63,21.782
2.0x,ds_rf_predict,P95,5,downstream_live,32.15,29.731,32.705
2.0x,ds_rf_predict,P99,5,downstream_live,34.496,33.789,34.94
2.0x,ds_detector_output_to_normalize,P50,5,downstream_live,0.001,0.001,0.001
2.0x,ds_detector_output_to_normalize,P95,5,downstream_live,0.001,0.001,0.001
2.0x,ds_detector_output_to_normalize,P99,5,downstream_live,0.001,0.001,0.001
2.0x,ds_nids_normalization,P50,5,downstream_live,0.017,0.017,0.017
2.0x,ds_nids_normalization,P95,5,downstream_live,0.024,0.023,0.025
2.0x,ds_nids_normalization,P99,5,downstream_live,0.028,0.027,0.03
2.0x,ds_es_indexing,P50,5,downstream_live,3.634,3.54,3.714
2.0x,ds_es_indexing,P95,5,downstream_live,51.235,50.12,52.513
2.0x,ds_es_indexing,P99,5,downstream_live,70.283,52.746,193.148
2.0x,ds_es_confirmed_to_queue,P50,5,downstream_live,1071.773,1033.741,1114.236
2.0x,ds_es_confirmed_to_queue,P95,5,downstream_live,1821.48,1765.651,1866.472
2.0x,ds_es_confirmed_to_queue,P99,5,downstream_live,1879.278,1821.616,1924.28
2.0x,ds_response_normalization,P50,5,downstream_live,0.037,0.037,0.038
2.0x,ds_response_normalization,P95,5,downstream_live,0.054,0.051,0.056
2.0x,ds_response_normalization,P99,5,downstream_live,0.102,0.094,0.105
2.0x,ds_policy_eval,P50,5,downstream_live,0.009,0.009,0.009
2.0x,ds_policy_eval,P95,5,downstream_live,0.015,0.014,0.016
2.0x,ds_policy_eval,P99,5,downstream_live,0.017,0.016,0.019
2.0x,ds_llm_wait,P50,5,downstream_live,8848.111,8825.06,8870.834
2.0x,ds_llm_wait,P95,5,downstream_live,15288.535,9583.658,15610.082
2.0x,ds_llm_wait,P99,5,downstream_live,16128.744,15804.032,16276.173
2.0x,ds_audit_completion,P50,5,downstream_live,17555.156,17524.047,17585.767
2.0x,ds_audit_completion,P95,5,downstream_live,24464.001,24261.248,24826.999
2.0x,ds_audit_completion,P99,5,downstream_live,25294.254,24844.573,31133.022
2.0x,ds_e2e_flow_to_audit,P50,5,downstream_live,129167.983,126050.538,130987.257
2.0x,ds_e2e_flow_to_audit,P95,5,downstream_live,263971.017,261954.091,265978.208
2.0x,ds_e2e_flow_to_audit,P99,5,downstream_live,274479.11,271759.088,275750.435
PP_100.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.026,0.027
PP_100.0x,feature_extraction,P95,3,phase_b_offline,0.045,0.043,0.048
PP_100.0x,feature_extraction,P99,3,phase_b_offline,0.054,0.052,0.055
PP_100.0x,rf_predict,P50,3,phase_b_offline,21.161,21.153,21.168
PP_100.0x,rf_predict,P95,3,phase_b_offline,21.352,21.338,21.367
PP_100.0x,rf_predict,P99,3,phase_b_offline,21.511,21.486,21.533
PP_100.0x,detector_total,P50,3,phase_b_offline,21.19,21.182,21.197
PP_100.0x,detector_total,P95,3,phase_b_offline,21.383,21.368,21.399
PP_100.0x,detector_total,P99,3,phase_b_offline,21.546,21.518,21.567
PP_100.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_100.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_100.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_100.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_100.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_100.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_104.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_104.0x,feature_extraction,P95,3,phase_b_offline,0.044,0.043,0.044
PP_104.0x,feature_extraction,P99,3,phase_b_offline,0.054,0.054,0.055
PP_104.0x,rf_predict,P50,3,phase_b_offline,21.167,21.162,21.172
PP_104.0x,rf_predict,P95,3,phase_b_offline,21.358,21.353,21.361
PP_104.0x,rf_predict,P99,3,phase_b_offline,21.516,21.5,21.531
PP_104.0x,detector_total,P50,3,phase_b_offline,21.196,21.191,21.202
PP_104.0x,detector_total,P95,3,phase_b_offline,21.388,21.383,21.394
PP_104.0x,detector_total,P99,3,phase_b_offline,21.552,21.539,21.566
PP_104.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_104.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_104.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_104.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_104.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_104.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_112.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_112.0x,feature_extraction,P95,3,phase_b_offline,0.045,0.043,0.046
PP_112.0x,feature_extraction,P99,3,phase_b_offline,0.055,0.054,0.055
PP_112.0x,rf_predict,P50,3,phase_b_offline,21.164,21.16,21.169
PP_112.0x,rf_predict,P95,3,phase_b_offline,21.357,21.352,21.36
PP_112.0x,rf_predict,P99,3,phase_b_offline,21.518,21.502,21.537
PP_112.0x,detector_total,P50,3,phase_b_offline,21.193,21.19,21.199
PP_112.0x,detector_total,P95,3,phase_b_offline,21.388,21.382,21.391
PP_112.0x,detector_total,P99,3,phase_b_offline,21.555,21.536,21.569
PP_112.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_112.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_112.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
